body_forms,body_html,body_noCharacters,body_noDistinctWords,body_noFunctionWords,body_noWords,body_richness,body_suspension,body_verifyYourAccount,script_javaScript,script_noOnClickEvents,script_nonModalJsLoads,script_popups,script_scripts,script_statusChange,send_diffSenderReplyTo,send_noCharacters,send_noWords,send_nonModalSenderDomain,subj_bank,subj_debit,subj_forward,subj_noCharacters,subj_noWords,subj_reply,subj_richness,subj_verify,url_atSymbol,url_ipAddress,url_linkText,url_maxNoPeriods,url_noDomains,url_noExtLinks,url_noImgLinks,url_noIntLinks,url_noIpAddresses,url_noLinks,url_noPorts,url_nonModalHereLinks,url_ports,label
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2030,244,3,414,0.203940887,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,815,108,0,156,0.191411043,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,71,15,0,16,0.225352113,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3249,362,10,735,0.226223453,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,236,39,0,49,0.207627119,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,545,68,0,88,0.16146789,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,208,35,1,39,0.1875,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3543,267,1,639,0.180355631,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1261,160,0,278,0.220459952,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,7306,701,4,1354,0.185327128,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,324,41,1,53,0.163580247,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,2,2,1,0,0,0,1,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4439,413,7,846,0.190583465,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,3,2,1,0,0,0,1,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,131,21,1,23,0.175572519,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,2,2,1,0,0,0,1,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,499,68,0,89,0.178356713,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,459,59,0,77,0.167755991,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,610,99,0,124,0.203278689,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
